НАЗВАНИЕ.СМИ,ТЕЛЕФОН,АДРЕС.СМИ,ЭЛ.ПОЧТА...САЙТ,ГЛАВНЫЙ.РЕДАКТОР,ОБЛАСТЬ,ГОРОД.РАЙОНЫ,ТИП.СМИ,СОБСТВЕННИК,email,web
Business FM,8727 315 24 30,"ул. Улугбека 40 Б, 3 микрорайон"," info@businessfm.kz, newsroomkz@gmail.com, https://businessfm.kz/",Данияр Даутов,Алматы,Алматы,Радио,"ТОО ""Business FM"",  Рустам Максутов",info@businessfm.kz newsroomkz@gmail.com,https://businessfm.kz/
Classic,"87272553320, 87272553391, 87272553397","ул. Желтоксан, 177","izbaskhanova.s@kaztrk.kz, rtrk@kaztrk.kz",Ляззат Танысбай,Алматы,Алматы,Радио,"АО ""РТРК ""Казахстан""",izbaskhanova.s@kaztrk.kz rtrk@kaztrk.kz,
Love radio,87 272 249 111,ул. Мынбаева 53/116,"love@loveradio.kz, www.loveradio.kz",Елена Голубятникова,Алматы,Алматы,Радио,"ТОО ""GRAND FM""",love@loveradio.kz,www.loveradio.kz
Европа плюс Казахстан,"8727 2583676, 87272583688","пл. Республики, 13, офис 635",europapluskz9170@gmail.com,Эльмира Джамилова,Алматы,Алматы,Радио,"АО ""Коммерческий телевизионный канал""",europapluskz9170@gmail.com,
Радио Дача,87071887887,"пр. Сейфуллина, 498, офис 601","dachafm.kz, info@dachafm.kz",Роман Загурский,Алматы,Алматы,радио,"ТОО ""Тамаша FM""",info@,https://dachafm.kz/
Керемет,87017551388,"3 микр-он, дом 40. Б. 5 этаж.",,Алимгазы Айдар,Алматы,Алматы,радио,ТОО Radio Line,,
КазАТиСО,"87272799570, 87272792730","ул. Наурызбай батыра, 9",kaz_atso@mail.ru,Каратаева Т.В,Алматы,Алматы,Радио,"Учреждение ""Казахская Академия труда и социальных отношений""",kaz_atso@mail.ru,
informburo.kz,8727 355 03 12,"ул. Д. Кунаева, 77","info@informburo.kz, astana@informburo.kz, https://informburo.kz/",Михаил Дорофеев,Алматы,Алматы,Сетевое издание,"ТОО ""Инфополис""",info@informburo.kz astana@informburo.kz,https://informburo.kz/
Hola News,8 705 554 7228,"ул. Шукшина 71,4","info@holanews.kz, https://holanews.kz/",Гульнар Бажкенова,Алматы,Алматы,Сетевое издание,"ТОО ""Hola News"", Тұрсынбек Әділет",info@holanews.kz,https://holanews.kz/
mediaunion.kz,87273151144,"пр. Сейфуллина,дом 498,офис 53 б","media-alliance@mail.kz, http://mediaunion.kz/",Данияр Курманов,Алматы,Алматы,Сетевое издание,"ОО ""Казахстанский Медиа Альянс""",media-alliance@mail.kz,http://mediaunion.kz/
Turki.kz,"87772925459, 87273095220","ул. Жамбыла, 25",http://turki.kz/,Спандияр Ахаев,Алматы,Алматы,Сетевое издание,"ОО ""АКТ""",,http://turki.kz/
www.camonitor.kz,"8 727 273 92 95, 8 727 273 47 95 ","ул. Гоголя, д.77/85, офис 68","info@camonitor.kz, https://camonitor.kz/",Анель Давлетгалиева,Алматы,Алматы,Сетевое издание,"ТОО ""ALEM BG""",info@camonitor.kz,https://camonitor.kz/
www.zanmedia.kz,"8777 407 55 11, 8727 2924343; 8727 2927961","ул. Досмухамедова, д.68 ""Б""","infozan@maiI.ru, kuanish_200405@mail.ru, https://zanmedia.kz/",Ермекова К.А,Алматы,Алматы,Сетевое издание,"ТОО ""Медиа-корпорация ""Заң""",infozan@maiI.ru kuanish_200405@mail.ru,https://zanmedia.kz/
Блог платформа Your Vision,8727 3308330,"ул. Желтоксан, д. 111А, офис 17","info@yvision.kz, https://yvision.kz/",Рустам Ниязов,Алматы,Алматы,Сетевое издание,"ТОО ""Блог-платформа Your Vision""",info@yvision.kz,https://yvision.kz/
Интернет ресурс Vesti.kz- Живи спортом!,8727 3888105,"ул. Мынбаева, д.151, БЦ «Verum», 9-этаж","press@vesti.kz, Vesti.kz",Денис Стрелков,Алматы,Алматы,Сетевое издание,"ТОО""Effective Media Liaison""",press@vesti.kz,https://vesti.kz/
manshuq.com,,"ул. Кабанбай батыра 85, оф.336"," hello@manshuq.com, https://manshuq.com/",Гульмира Кусаинова,Алматы,Алматы,Сетевое издание,"ТОО ""Manshuq Media"", Аруна Амзеева, Акжелен Исабаева",hello@manshuq.com,https://manshuq.com/
oner.kz,8 702 310 0184,"ул. Желтоксан, 377, офис 427","annasbagdat@oner.kz, https://oner.kz/",Бағдат Әнес,Алматы,Алматы,Сетевое издание,"ТОО ""OZART""",annasbagdat@oner.kz,https://oner.kz/
Qandastar.kz,,"пр-т. Гагарин, д.155, офис 12"," qandastarqz@gmail.com, https://qandastar.kz/",Арман Серікұлы,Алматы,Алматы,Сетевое издание,"ОФ ""Национально-этнографическое объединение ""Адырна""",qandastarqz@gmail.com,https://qandastar.kz/
Business FM,8727 315 24 30,"ул. Улугбека 40 Б, 3 микрорайон"," info@businessfm.kz, newsroomkz@gmail.com, https://businessfm.kz/",Ольга Настюкова,Алматы,Алматы,Сетевое издание,"ТОО ""Business FM"",  Рустам Максутов",info@businessfm.kz newsroomkz@gmail.com,https://businessfm.kz/
Tengrinews.kz,,"ул. Мынбаева, д.151, БЦ «Verum», 9-этаж ","news@tn.kz, https://tengrinews.kz/",Алдабергенов Айбек,Алматы,Алматы,Сетевое издание,"ТОО ""Effective Media Liaison"", Карабалин Сункар",news@tn.kz,https://tengrinews.kz/
Zakon.kz,8727 2732885,"пр. Назарбаева, 51","info@zakon.kz, https://www.zakon.kz/",Кайрат Шайхиев,Алматы,Алматы,Сетевое издание,"ТОО ""Компания ""ЮрИнфо""",info@zakon.kz,https://www.zakon.kz/
Радио Азаттық,"8 727 311 02 08, 8727 311 02 03","пр. Аль-Фараби, 7 Бизнес-центр «Нурлы Тау», корпус 4А, 3-этаж, офис № 4"," azattyq@rferl.org, https://rus.azattyq.org/",Куанышбек Кари,Алматы,Алматы,Сетевое издание,"Казахская редакция Радио «Свободная Европа»/Радио «Свобода», Торокул Дооров",azattyq@rferl.org,https://rus.azattyq.org/
Exclusive.kz,"8727 291 22 22, 8727 291 36 65","ул. Богенбай батыра, 62/2","info@exclusive.kz, http://www.exclusive.kz/",Карлыгаш Еженова,Алматы,Алматы,Сетевое издание,"ТОО ""Издательский дом ""Эксклюзив""",info@exclusive.kz,http://www.exclusive.kz/
Интернет-газета ZonaKZ,8727 2991121,"ул.Бул бул, дом 26, оф.4"," y@zonakz.net, n@zonakz.net, https://zonakz.net",Мизинов Юрий,Алматы,Алматы,Сетевое издание,,y@zonakz.net n@zonakz.net,https://zonakz.net
Abai.kz,"8727 250 06 05, 8778 780 74 94","пр. Жибек Жолы, 64 / Валиханова, 47","abaikzportal@gmail.com , https://abai.kz/",Нұргелді Әбдіғаниұлы,Алматы,Алматы,Сетевое издание,"ОО ""Abai.kz"",Дәурен Қуат",abaikzportal@gmail.com,https://abai.kz/
Аргументы и Факты Казахстан,8 701 255 55 70,"ул. Абылай-Хана 58а
","abdulmanoverlen@gmail.com, https://kzaif.kz/",Эрлен Абдулманов ,Алматы,Алматы,Сетевое издание,"ТОО ""АиФ-Казахстан""
",abdulmanoverlen@gmail.com,https://kzaif.kz/
"Massaget.kz
","87273888122, 87273888139",,"massaget.kz@gmail.com, https://massaget.kz/","Молдажанов Ербол
",Алматы,Алматы,Сетевое издание,"TOO Effective Media Liaison
",massaget.kz@gmail.com,https://massaget.kz/
Сахара,"87122323417,87122 391182","ул. Гурьева, д.5, каб.20","sakhara_@mail.ru, www.sakhara.kz",Батыров Куандык,Атырауская область,Атырау,Газета,"Учреждение ""АР-честь""",sakhara_@mail.ru,http://sakhara.kz/
Дендер,"87123421180, 871234 21526","пос. Индербор, ул.Д.Конаева, 18","dender_gz10@mail.ru, http://den-der.kz/",Жанай Амантурлин,Атырауская область,Индерский район,Газета,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",dender_gz10@mail.ru,http://den-der.kz/
Жайық шұғыласы,"87123621134, 87123621349","с. Махамбет, ул.Абая, 10","zhayk-shugylacy@mail.ru, http://zh-shugylasy.kz/",Нұрым Ерғалиев,Атырауская область,Махамбетский район,Газета,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",zhayk-shugylacy@mail.ru,http://zh-shugylasy.kz/
Кен жылой,"87123751683, 8712375 0766","Кульсары , пр. Махамбета, 8","Ken-Zhylyoi@mail.ru, saulesh_shaten@mail.ru , http://ken-zhyloi.kz/",Сәулеш Шәтенова ,Атырауская область,Жылыойский район,Газета,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",Ken-Zhylyoi@mail.ru saulesh_shaten@mail.ru,http://ken-zhyloi.kz/
Мақат тынысы,"87123930766, 87123521161","пос. Макат, С. Мұқашев, 36","Makat70@mail.ru, zada.s72@mail.ru, http://maqat-tynysy.kz/",Гүлзада Саликова,Атырауская область,Макатайский район,Газета,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",Makat70@mail.ru zada.s72@mail.ru,http://maqat-tynysy.kz/
Нарын таңы,"87123120168, 87123120152","c. Аккистау, ул.Егемен Қазақстан, 12","naryn_tany2009@mail.ru, http://naryntany.kz/",Аслан Мұратов ,Атырауская область,Исатайский район,Газета,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",naryn_tany2009@mail.ru,http://naryntany.kz/
Қызылқоға,"871238 21738, 87123821764","с. Миялы, ул.Сатпаева, 17","mialy44@mail.ru, http://qyzylqoga.kz/",Бауыржан Сисенов,Атырауская область,Кызылкугинский район,Газета,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",mialy44@mail.ru,http://qyzylqoga.kz/
Серпер,"87123321570, 87123321478","с. Ганюшкин, ул.С.Кошекбаев, 25","serper_s@inbox.ru, http://ser-per.kz/",Танатар Дарелов,Атырауская область,Курмангазинский район,Газета,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",serper_s@inbox.ru,http://ser-per.kz/
Ақ Жайық,87122272371,"ул. Жарбосынова, 5","editors@azh.kz, office@azh.kz, www.azh.kz",Азамат Майтанов,Атырауская область,Атырау,Газета,"ТОО ""Ак Жайык"", Абдильда Мукашев",editors@azh.kz office@azh.kz,https://azh.kz/kz/
Алтын аймақ,"87122 212011 , 87017130998","ул. Кулманова,115","tobeatak@mail.ru, altynaimak@mail.ru",Төлеген Берішбай,Атырауская область,Атырау,Газета,"Региональный благотворительный частный фонд ""Қайрат""",tobeatak@mail.ru altynaimak@mail.ru,
Алтын ғасыр,87122298624,"пр. Тамбовская, 2в",AltynGasyr@pochta.ru,Жұмабай Доспанов,Атырауская область,Атырау,Газета,"Негосударственное учреждение ""Атырауский центр содействия демократии""",AltynGasyr@pochta.ru,
Атырау,87122458643,"ул. Ж.Молдагалиева, 29а","atyrau_gazeti@mail.ru, www.atr.kz",Исатай Балмагамбетов,Атырауская область,Атырау,Газета,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",atyrau_gazeti@mail.ru,http://atr.kz/
Городской парк,"87122 272367, 87122 272368","ул. Жарбосынова, 7","m.palichev@azh.kz, editors@azh.kz, www.azh.kz",Михаил Паличев,Атырауская область,Атырау,Газета,"ТОО ""Ак Жайык"", Абдильда Мукашев",m.palichev@azh.kz editors@azh.kz,https://azh.kz/kz/
Жайық самалы,87122272371,"ул. Жарбосынова, 5","a.saparova@azh.kz,editors@azh.kz, www.azh.kz",Айнур Сапарова,Атырауская область,Атырау,Газета,"ТОО ""Ак Жайык"", Абдильда Мукашев",a.saparova@azh.kzeditors@azh.kz,https://azh.kz/kz/
Квартал,87122210618,"ул. Жарбосынова, 49А, офис 4","asambaeva@mail.ru, gazeta_kvartal@mail.ru",Алена Асамбаева,Атырауская область,Атырау,Газета,"ТОО ""Квартал"", Алена Асамбаева",asambaeva@mail.ru gazeta_kvartal@mail.ru,
Құлсары,87123740321,"Кульсары, 4 аул, 184",Sisenberdiev@mail.ru,Абдихалык Сисенбердиев,Атырауская область,Жылыойский район,Газета,ИП Абдихалык Сисенбердиев,Sisenberdiev@mail.ru,
Мунайлы астана,87122458427,"ул. Ж.Молдагалиева, 29а",info@m-astana.kz,Куттыгерей Смадияр,Атырауская область,Атырау,Газета,"ТОО ""Издательский дом ""Батыс""",info@m-astana.kz,
Прикаспийская коммуна,87122458593,"ул. Ж.Молдагалиева, 29а","pricom.kz@mail.ru, www.pricom.kz",Насип Шалабаева,Атырауская область,Атырау,Газета,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",pricom.kz@mail.ru,http://pricom.kz/
Мерейлі мекен,87122211759,"ул.Сатпаева, 48а","zhenys_a@mail.ru, merei-m.kz",Женис Аронов,Атырауская область,Атырау,Журнал,"Фонд поддержки сельской культуры ""Аяз би""",zhenys_a@mail.ru,https://merei-m.kz/
pricom.kz,87122458593,"ул. Ж.Молдагалиева, 29а","pricom.kz@mail.ru, http://pricom.kz/",Насип Шалабаева,Атырауская область,Атырау,ИА,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",pricom.kz@mail.ru,http://pricom.kz/
atr.kz,"8712245843, 87122 458597","ул. Ж.Молдагалиева, 29а","atyrau_gazeti@mail.ru, http://atpress.kz/",Исатай Балмагамбетов,Атырауская область,Атырау,ИА,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",atyrau_gazeti@mail.ru,http://atpress.kz/
Maqat-tynysy.kz,87123930766,"пос.Макат, ул.С.Мұқашева, 36","Makat70@mail.ru, http://maqat-tynysy.kz/",Гүлзада Саликова,Атырауская область,Макатайский район,ИА,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",Makat70@mail.ru,http://maqat-tynysy.kz/
ser-per.kz,"87123321570, 87123321478","с.Ганюшкин, ул.С.Кошекбаев 25","serper_s@inbox.ru, http://ser-per.kz/",Танатар Дарелов,Атырауская область,Курмангазинский район,ИА,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",serper_s@inbox.ru,http://ser-per.kz/
den-der.kz,"87123421180,871234 21526","пос.Индербор, ул.Д.Конаева, 18","dender_gz10@mail.ru, http://den-der.kz/",Жанай Амантурлин,Атырауская область,Индерский район,ИА,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",dender_gz10@mail.ru,http://den-der.kz/
ken-zhyloi.kz,"87123751683, 8712375 0766","пр.Махамбета, 8","Ken-Zhylyoi@mail.ru, saulesh_shaten@mail.ru , http://ken-zhyloi.kz/",Сәулеш Шәтенова ,Атырауская область,Атырау,ИА,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",Ken-Zhylyoi@mail.ru saulesh_shaten@mail.ru,http://ken-zhyloi.kz/
naryntany.kz,"87123120168, 87123120152","c.Аккистау, ул.Егемен Қазақстан, 12","naryn_tany2009@mail.ru, http://naryntany.kz/",Аслан Мұратов ,Атырауская область,Исатайский район,ИА,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",naryn_tany2009@mail.ru,http://naryntany.kz/
qyzylqoqa.kz,"871238 21738, 87123821764","с.Миялы, ул.Сатпаева, 17","mialy44@mail.ru, http://qyzylqoga.kz/",Бауыржан Сисенов,Атырауская область,Кызылкугинский район,ИА,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",mialy44@mail.ru,http://qyzylqoga.kz/
zh-shuqylasy.kz,"87123621134, 87123621349","с.Махамбет, ул.Абая, 10","zhayk-shugylacy@mail.ru, http://zh-shugylasy.kz/",Нұрым Ерғалиев,Атырауская область,Махамбетский район,ИА,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",zhayk-shugylacy@mail.ru,http://zh-shugylasy.kz/
Atyrauakparat,"87122458626, 87122 48393","ул. Ж.Молдагалиева, 29а",akparat-2015@mail.ru,,Атырауская область,Атырау,ИА,"ТОО ""Атырау-Акпарат"", Баязи Абдешев",akparat-2015@mail.ru,
Молодежный портал города Атырау,87775208408,"мкр.Нурсая, 23 (Молодежный Ресурсный Центр)","zhasatyrau.kz@yandex.kz, http://zhasatyrau.kz/",,Атырауская область,Атырау,ИА,"ОО ""Центр Инфо""",zhasatyrau.kz@yandex.kz,http://zhasatyrau.kz/
Love Radio Atyrau,"87122458732, 87026494952",мкр. Кулагер,lb_25@mail.ru,Людмила Бородина,Атырауская область,Атырау,Радио,"ТОО ""ТРК Тандем"", Садыкова М.Н.",lb_25@mail.ru,
Caspian NEWS,"87024551555, 87122 500606","ул. Ж.Молдагалиева, 29а","https://cntv.kz/, info@cntv.kz",Жанар Низамутдинова,Атырауская область,Атырау,ТВ,"ТОО ""CASPIAN NEWS"",Казбек Кертаев",info@cntv.kz,https://cntv.kz/
ATYRAY,87122458300,"ул. Ж.Молдагалиева, 29а"," atyrau@kaztrk.kz, http://atyrautv.kz/ru",Аскар Ашимов,Атырауская область,Атырау,ТВ,"АО ""Республиканская Телерадиокорпорация  ""Казахстан""",atyrau@kaztrk.kz,http://atyrautv.kz/ru
Дидар,"87232751903,  87232751538


","ул. Космическая, 6/3","didar@media-vko.kz, didar_red@inbox.ru, didar-gazeti.kz",Уалихан Токпатаев,Восточно-Казахстанская область,Усть-Каменогорск,Газета,"ТОО ""Шығыс ақпарат"", Нурбек Бекен",didar@media-vko.kz didar_red@inbox.ru,http://didar-gazeti.kz/
Арай – Луч,87234121996,"с. Улкен Нарын, ул.Абылайхана, д.96",arai-luch@mail.ru,"Жомарт  Жакыпов 
",Восточно-Казахстанская область,Катон-Карагайский район,Газета,"ТОО ""Шығыс ақпарат"", Нурбек Бекен",arai-luch@mail.ru,
Алдаспан,"87232512927, 87232228989
",ул. Мызы 16/1,Aldaspan10@mail.ru,Назерке Каримова,Восточно-Казахстанская область,Усть-Каменогорск,Газета,"ТОО ""Рекламное агенство ""Устинка бизнес""",Aldaspan10@mail.ru,
Бесқарағай тынысы,87223691747,"с. Большая Владимировка, ул. Сейфуллина, 144",beskaragay_tinisi@bk.ru,Асылбек Кожахметов,Восточно-Казахстанская область,Бескарагайский район,Газета,Акимат Бескарагайского района,beskaragay_tinisi@bk.ru,
Жұлдыз – Новая жизнь,"87234821916, 87771525653","с. Кокпекты, ул.Кабанбай батыра, 69, 2 этаж","2-19-16@mail.ru, http://www.zhuldyzkokpekty.kz",Дархан Дюсембаев,Восточно-Казахстанская область,Кокпектинский район,Газета,"ТОО ""Районная газета ""Жұлдыз""-""Новая жизнь"" Кокпектинского района""",2-19-16@mail.ru,http://www.zhuldyzkokpekty.kz
Қалба тынысы,"87234765286, 87234762699","с. Калбатау, ул.Кабанбая 101-4",rv_media@mail.ru,Кайрат Жаксыбаев,Восточно-Казахстанская область,Жарминский район,Газета,"ТОО ""Жарминская районная газета ""Қалба тынысы""",rv_media@mail.ru,
Менің өлкем,87232701872,"Набережная имени Е.П.Славского, 14","menin_olkem@mail.ru, http://buqara.kz",Ерболат Мукажанов,Восточно-Казахстанская область,Усть-Каменогорск,Газета,"ТОО ""Издательский дом ""Регион"", Евгений Черкашин",menin_olkem@mail.ru,http://buqara.kz
Мой город,"87232251587, 
87232255777
","Набережная имени Е.П.Славского, 14","GazetaMG@yandex.ru, https://yk-news.kz/about_project",Ирина Стракатова ,Восточно-Казахстанская область,Усть-Каменогорск,Газета,"ТОО ""Издательский дом ""Регион"", Евгений Черкашин",GazetaMG@yandex.ru,https://yk-news.kz/about_project
Мой город Зыряновск,87233563735,"ул. Тауелсиздик, 28/1 оф.5. ","mgzyr@mail.ru, https://yk-news.kz/about_project",Ирина Сакерина,Восточно-Казахстанская область,Зыряновск,Газета,"ТОО ""Издательский дом ""Регион"", Евгений Черкашин",mgzyr@mail.ru,https://yk-news.kz/about_project
Мой город Риддер,87233644634,"Пр.Независимости, 7 , 2 этаж, офис 222","ridder@idregion.kz, https://yk-news.kz/about_project",Ирина Сакерина,Восточно-Казахстанская область,Риддер,Газета,"ТОО ""Издательский дом ""Регион"", Евгений Черкашин",ridder@idregion.kz,https://yk-news.kz/about_project
Мой край,"87232251587
87232259630
","Набережная имени Е.П.Славского, 14","GazetaMG@yandex.ru, https://yk-news.kz/about_project",Ирина Стракатова ,Восточно-Казахстанская область,Усть-Каменогорск,Газета,"ТОО ""Издательский дом ""Регион"", Евгений Черкашин",GazetaMG@yandex.ru,https://yk-news.kz/about_project
Семей таңы - Вести Семей,"87222 523657, 87222 560803","ул. Интернациональная, 12","semey_tani@mail.ru , levina.flora@mail.ru,  http://www.semeytany.kz/","Ерзат Жанатұлы, Флора Левина
",Восточно-Казахстанская область,Семей,Газета,"ТОО ""Газеты Семей таңы - Вести Семей"", Риза Молдашева",semey_tani@mail.ru  levina.flora@mail.ru,http://www.semeytany.kz/
Достық,87234021378,"ул. Желтоксан, 30
",gazeta-dostyk@mail.ru,"Нургуль Халыкова
",Восточно-Казахстанская область,Зайсан,Газета,"Акимат Зайсанского района, Ардақты Бөлдекбаева",gazeta-dostyk@mail.ru,
Flash!,87232755347,"пр. Сатпаева, 22/2 – 43","flashgazeta@mail.ru, www.flashpress.kz",Денис Данилевский,Восточно-Казахстанская область,Усть-Каменогорск,Газета,"ТОО ""3-ИКС"", Людмила Данилевская",flashgazeta@mail.ru,https://flashpress.kz/
Рауан- Заря,"87233931058
","с. Курчум, ул.Барак Батыра, д.25","zarya-kur@mail.ru, Zarya_kur@mail.ru",Бакыт Жуматова,Восточно-Казахстанская область,Курчумский район,Газета,"ТОО ""Шығыс ақпарат"", Нурбек Бекен",zarya-kur@mail.ru Zarya_kur@mail.ru,
Ұлан таңы – Уланские зори,"87233827615,87772561404
","п. Касыма Кайсенова, 1",ulantany@mail.ru,"Айым Касембаева 
",Восточно-Казахстанская область,Уланский район,Газета,"ТОО ""Шығыс ақпарат"", Нурбек Бекен",ulantany@mail.ru,
Аудан тынысы – Пульс района,87235121660,"с. Бородулиха, ул. Тәуелсіздік, 69",borodulihapuls@mail.ru,Галина Клюшина,Восточно-Казахстанская область,Бородулихинский район,Газета,"ТОО ""Шығыс ақпарат"", Нурбек Бекен",borodulihapuls@mail.ru,
Аягөз әлемі,"872237 52598, 87223732039 ","Бульвар Абая, 12",ayaguz_alemy@mail.ru,Айгуль Кенесбекова,Восточно-Казахстанская область,Аягоз,Газета,"ИП ""Шалгумбаев"", Бакытөмір Шалғымбаев ",ayaguz_alemy@mail.ru,
Аягөз жаңалықтары,"87223730600, 87223733417
","Бульвар Абая, 24а","ayagoz_news@mail.ru, ayagoz.zhanalyktary@mail.ru",Серикболат Жакенов ,Восточно-Казахстанская область,Аягоз,Газета,"ТОО ""Аягөз Жаңалықтары"" Аудандық Газеті"", Ермек Дайырбаев  ",ayagoz_news@mail.ru ayagoz.zhanalyktary@mail.ru,
Ертіс өңірі,87222561959,ул. Шугаева 30,ertis_oniri@mail.ru,Кулия Раисова,Восточно-Казахстанская область,Семей,Газета,"ТОО ""Газета ""Ертіс өңірі"", Даметкен Байуакова",ertis_oniri@mail.ru,
Заря Востока,"87223563472
","ул. Тауелсиздик, 28/1 оф.5. ",zvostoka@mail.ru,Бакытжан Имамбаев,Восточно-Казахстанская область,Зыряновск,Газета,"ТОО ""Диас-Сауда"", Бакытжан Имамбаев",zvostoka@mail.ru,
Пульс! Алтая - Көктас таңы,"87233579128
","ул. Курчатова, 8/1",gazeta_2011@mai.ru,Ирина Дмитриева,Восточно-Казахстанская область,Зыряновск,Газета,"ГУ ""Аппарат акима Зыряновского района"" ВКО",gazeta_2011@mai.ru,
Лениногорская правда - Жерұйық,87233670030,"пр. Независимости, 3
","lenpravda@mail.ru , trocen@mail.ru",Леонид Троценко,Восточно-Казахстанская область,Риддер,Газета,"ТОО "" Газета ""Лениногорская правда"", Леонид Троценко",lenpravda@mail.ru  trocen@mail.ru,
ЛЗ Сегодня,"87233291607
","ул.Анатолия Иванова, 21",lzsegodnya@mail.ru,Елена Григорьева,Восточно-Казахстанская область,Шемонаиха,Газета,Григорьева Елена Николаевна,lzsegodnya@mail.ru,
Наше дело-информ,"8722260835, 87778566633","ул. Засядко, 88","nd@relkom.kz,nd-semsk@rambler.ru",Вадим Барташ,Восточно-Казахстанская область,Семей,Газета,"ТОО ""Лидер LTD"", Вадим Барташ",nd@relkom.kznd-semsk@rambler.ru,
Рудный Алтай,"87232 220284, 87232751538","ул. Космическая, 6/3","raltay@ukg.kz ,info@media-vko.kz, rudnyi-altai.kz",Ольга Шабалина ,Восточно-Казахстанская область,Усть-Каменогорск,Газета,"ТОО ""Шығыс ақпарат"", Нурбек Бекен",raltay@ukg.kz info@media-vko.kz,http://rudnyi-altai.kz/
СПЕКТР,"87222561587, 87771581913","ул. Шугаева, 30","info-spectr@bk.ru, spectr_box@bk.ru, spectr.com.kz","Наталья Дроздецкая 
 ",Восточно-Казахстанская область,Семей,Газета,"ТОО ""Газета Спектр"", Омарбек Байуаков",info-spectr@bk.ru spectr_box@bk.ru,http://spectr.com.kz/
Тарбағатай,"87234621264, 87234622004
","с. Аксуат, ул. Кабекова, 19",tarbagatay@mail.ru,Ергали Жумаханов,Восточно-Казахстанская область,Тарбагатайский район,Газета,"Учреждение ""Районная газета ""Тарбағатай нұры"", Ергали Жумаханов",tarbagatay@mail.ru,
Уақыт тынысы – Пульс времени,87223033611.87,"с.Урджар, пр.Абылайхана ,116",cool.gazeta22010@yandex.kz,"Зухра  Бейсенбек 
",Восточно-Казахстанская область,Урджарский район,Газета,Акимат Урджарского района,cool.gazeta22010@yandex.kz,
Устинка плюс,"8723 2208 935,8723 220834","ул. Мызы, 16/1","ustinka_plus@mail.ru ,Kislenkova@ustinka.kz, ustinka.kz",Вера Кисленкова,Восточно-Казахстанская область,Усть-Каменогорск,Газета,"ТОО ""Редакция газеты ""Устинка плюс"",Ирина Севериненко",ustinka_plus@mail.ru Kislenkova@,https://ustinka.kz/
Ақ бұлақ - Огни Прииртышья,87233121147,"с. Глубокое, ул. Поповича, 26, офис 32",2-1147@mail.ru,Даулет Абылтасов,Восточно-Казахстанская область,Глубоковский район,Газета,"ТОО ""Шығыс ақпарат"", Нурбек Бекен",2-1147@mail.ru,
Шемонаиха тынысы,"8723 3232519, 87055235979","ул. Момышулы, 31/3",shemonaihatynysy@mail.ru,Гульназира Есенбекова,Восточно-Казахстанская область,Шемонаиха,Газета,ИП Есенбекова,shemonaihatynysy@mail.ru,
Риддер – Информ,87233652017,"4 микрорайон, 39/1",riddertv@mail.ru,Владимир Волженин,Восточно-Казахстанская область,Риддер,ИА,"""Риддер-Информ"", Евгения Воропаева",riddertv@mail.ru,
Микс,"87232522568, 87232774721","Бульвар Гагарина, д.11, кв.53","mixradio@rambler.ru,  radiomiks@mail.ru",,Восточно-Казахстанская область,Усть-Каменогорск,Радио,"ТОО ""МИКС"", Рустам Адамов",mixradio@rambler.ru  radiomiks@mail.ru,
Радио-7,"8 7222671261,  87222524214","ул. Мәнгілік ел, 26, 1-й подъезд, 2 этаж, каб. 127","info@radio7.kz, news@radio7.kz, http://radio7.kz/",,Восточно-Казахстанская область,Семей,Радио,"ТОО ""РАДИО"", Ерлан Бажеков",info@radio7.kz news@radio7.kz,http://radio7.kz/
Радио-Максат,"872336 51310, 87779864944","3 мкрн., д. 19, 53 офис",alima.50@mail.ru,,Восточно-Казахстанская область,Риддер,Радио,"ТОО ""Радио Максат"", Алима Есенова",alima.50@mail.ru,
Altaynews.kz,87232224503,"ул. Космическая, 6/3","graltaynews@gmail.com, https://altaynews.kz/ru/",Ирина Якунина ,Восточно-Казахстанская область,Усть-Каменогорск,Сетевое издание,"ТОО ""Шығыс ақпарат"", Нурбек Бекен",graltaynews@gmail.com,https://altaynews.kz/ru/
Factum.kz,"87232 224 83 72, 8 777 519 49 17","ул.Казахстан, 27а, оф.306","factumkz@gmail.com, https://factum.kz/ ",Ирина Торлопова,Восточно-Казахстанская область,Усть-Каменогорск,Сетевое издание,"ТОО ""DEXIA""",factumkz@gmail.com,https://factum.kz/
